scan,cluster
SPRING0275,C4
SPRING0276,C8
SPRING0278,C4
SPRING0279,C8
SPRING0280,C8
SPRING0281,C6
SPRING0282,C4
SPRING0285,C6
SPRING0287,C4
SPRING0289,C7
SPRING0293,C4
SPRING0295,C7
SPRING0297,C7
SPRING0299,C6
SPRING0300,C6
SPRING0301,C8
SPRING0303,C7
SPRING0305,C5
SPRING0306,C3
SPRING0311,C7
SPRING0313,C7
SPRING0314,C8
SPRING0315,C4
SPRING0316,C7
SPRING0318,C4
SPRING0319,C6
SPRING0320,C8
SPRING0330,C8
SPRING0373,C7
SPRING0388,C4
SPRING0389,C8
SPRING0390,C8
SPRING0391,C4
SPRING0394,C8
SPRING0395,C5
SPRING0396,C4
SPRING0397,C7
SPRING0398,C5
SPRING0403,C7
SPRING0405,C7
SPRING0410,C5
SPRING0411,C4
SPRING0415,C7
SPRING0419,C8
SPRING0420,C5
SPRING0421,C6
SPRING0422,C4
SPRING0424,C4
SPRING0425,C6
SPRING0426,C7
SPRING0427,C6
SPRING0428,C8
SPRING0429,C6
SPRING0430,C7
SPRING0431,C7
SPRING0432,C8
SPRING0433,C4
SPRING0435,C8
SPRING0436,C6
SPRING0437,C7
SPRING0440,C6
SPRING0441,C4
SPRING0442,C6
SPRING0443,C8
SPRING0444,C7
SPRING0445,C3
SPRING0446,C7
SPRING0447,C6
SPRING0448,C7
SPRING0449,C4
SPRING0450,C8
SPRING0451,C7
SPRING0453,C4
SPRING0454,C8
SPRING0455,C4
SPRING0456,C7
SPRING0457,C7
SPRING0460,C7
SPRING0462,C7
SPRING0463,C6
SPRING0466,C7
SPRING0467,C6
SPRING0470,C4
SPRING0471,C3
SPRING0474,C4
SPRING0478,C8
SPRING0479,C7
SPRING0481,C7
SPRING0485,C8
SPRING0486,C8
SPRING0487,C7
SPRING0488,C4
SPRING0491,C4
SPRING0492,C7
SPRING0493,C7
SPRING0494,C7
SPRING0496,C7
SPRING0497,C4
SPRING0498,C7
SPRING0500,C7
SPRING0501,C7
SPRING0502,C4
SPRING0504,C3
SPRING0505,C7
SPRING0506,C7
SPRING0507,C7
SPRING0509,C7
SPRING0511,C6
SPRING0512,C8
SPRING0513,C6
SPRING0514,C4
SPRING0515,C4
SPRING0517,C1
SPRING0518,C7
SPRING0520,C7
SPRING0521,C4
SPRING0523,C8
SPRING0524,C8
SPRING0525,C7
SPRING0526,C6
SPRING0527,C4
SPRING0529,C8
SPRING0532,C8
SPRING0533,C4
SPRING0534,C5
SPRING0535,C7
SPRING0536,C5
SPRING0537,C8
SPRING0538,C7
SPRING0539,C5
SPRING0540,C7
SPRING0542,C7
SPRING0546,C8
SPRING0547,C6
SPRING0548,C8
SPRING0549,C6
SPRING0550,C4
SPRING0551,C8
SPRING0552,C6
SPRING0553,C1
SPRING0554,C7
SPRING0555,C6
SPRING0557,C7
SPRING0559,C8
SPRING0560,C4
SPRING0561,C4
SPRING0562,C7
SPRING0563,C7
SPRING0564,C6
SPRING0566,C4
SPRING0567,C7
SPRING0568,C7
SPRING0571,C7
SPRING0572,C6
SPRING0574,C4
SPRING0575,C8
SPRING0576,C4
SPRING0578,C8
SPRING0579,C8
SPRING0580,C7
SPRING0582,C7
SPRING0587,C8
SPRING0588,C7
SPRING0591,C7
SPRING0592,C3
SPRING0595,C8
SPRING0597,C7
SPRING0599,C6
SPRING0601,C7
SPRING0602,C8
SPRING0603,C8
SPRING0605,C4
SPRING0606,C8
SPRING0608,C8
SPRING0610,C7
SPRING0611,C4
SPRING0612,C5
SPRING0613,C7
SPRING0618,C4
SPRING0620,C7
SPRING0623,C6
SPRING0625,C7
SPRING0629,C7
SPRING0632,C8
SPRING0633,C3
SPRING0634,C8
SPRING0636,C7
SPRING0637,C8
SPRING0638,C8
SPRING0639,C6
SPRING0641,C8
SPRING0643,C6
SPRING0647,C3
SPRING0648,C7
SPRING0650,C7
SPRING0652,C5
SPRING0653,C8
SPRING0654,C7
SPRING0657,C4
SPRING0658,C8
SPRING0659,C7
SPRING0660,C3
SPRING0661,C2
SPRING0664,C4
SPRING0666,C7
SPRING0667,C8
SPRING0669,C4
SPRING0670,C7
SPRING0671,C4
SPRING1031,C7
SPRING1036,C7
SPRING1040,C5
SPRING1041,C4
SPRING1044,C7
SPRING1045,C5
SPRING1046,C6
SPRING1048,C7
SPRING1049,C3
SPRING1051,C8
SPRING1052,C7
SPRING1054,C7
SPRING1055,C6
SPRING1059,C4
SPRING1064,C7
SPRING1065,C6
SPRING1066,C7
SPRING1067,C8
SPRING1069,C6
SPRING1072,C3
SPRING1073,C7
SPRING1075,C4
SPRING1080,C7
SPRING1082,C7
SPRING1085,C4
SPRING1090,C7
SPRING1092,C8
SPRING1093,C4
SPRING1094,C8
SPRING1097,C6
SPRING1099,C8
SPRING1103,C8
SPRING1104,C8
SPRING1106,C8
SPRING1108,C6
SPRING1110,C5
SPRING1111,C8
SPRING1113,C7
SPRING1114,C8
SPRING1115,C6
SPRING1117,C4
SPRING1119,C6
SPRING1120,C8
SPRING1122,C3
SPRING1126,C7
SPRING1129,C4
SPRING1131,C7
SPRING1135,C4
SPRING1143,C7
SPRING1145,C8
SPRING1146,C6
SPRING1149,C8
SPRING1151,C7
SPRING1153,C4
SPRING1154,C4
SPRING1155,C8
SPRING1156,C6
SPRING1159,C4
SPRING1161,C4
SPRING1165,C8
SPRING1170,C8
SPRING1173,C7
SPRING1176,C6
SPRING1179,C4
SPRING1181,C6
SPRING1185,C4
SPRING1186,C8
SPRING1187,C8
SPRING1188,C8
SPRING1189,C8
SPRING1190,C4
SPRING1191,C8
SPRING1192,C8
SPRING1193,C7
SPRING1196,C7
SPRING1199,C7
SPRING1203,C7
SPRING1204,C7
SPRING1205,C8
SPRING1206,C7
SPRING1211,C7
SPRING1216,C7
SPRING1218,C4
SPRING1219,C6
SPRING1223,C6
SPRING1224,C8
SPRING1228,C3
SPRING1230,C4
SPRING1232,C5
SPRING1234,C7
SPRING1236,C7
SPRING1238,C5
SPRING1243,C4
SPRING1244,C7
SPRING1245,C7
SPRING1247,C6
SPRING1248,C7
SPRING1252,C3
SPRING1255,C7
SPRING1256,C7
SPRING1257,C8
SPRING1258,C8
SPRING1259,C3
SPRING1260,C3
SPRING1261,C4
SPRING1264,C7
SPRING1265,C5
SPRING1266,C7
SPRING1267,C6
SPRING1268,C6
SPRING1271,C4
SPRING1272,C8
SPRING1274,C4
SPRING1275,C7
SPRING1276,C4
SPRING1278,C3
SPRING1282,C7
SPRING1286,C7
SPRING1288,C4
SPRING1292,C5
SPRING1293,C5
SPRING1295,C8
SPRING1306,C8
SPRING1308,C5
SPRING1317,C7
SPRING1318,C7
SPRING1320,C8
SPRING1322,C4
SPRING1325,C7
SPRING1326,C8
SPRING1327,C6
SPRING1328,C5
SPRING1329,C7
SPRING1330,C6
SPRING1332,C5
SPRING1333,C6
SPRING1334,C4
SPRING1335,C7
SPRING1337,C7
SPRING1338,C6
SPRING1339,C6
SPRING1340,C7
SPRING1343,C6
SPRING1344,C5
SPRING1346,C6
SPRING1351,C4
SPRING1352,C7
SPRING1353,C5
SPRING1354,C8
SPRING1355,C7
SPRING1357,C4
SPRING1358,C4
SPRING1364,C4
SPRING1366,C8
SPRING1367,C8
SPRING1370,C5
SPRING1371,C7
SPRING1377,C7
SPRING1380,C3
SPRING1383,C8
SPRING1384,C7
SPRING1385,C4
SPRING1386,C7
SPRING1392,C6
SPRING1393,C4
SPRING1394,C6
SPRING1395,C8
SPRING1398,C4
SPRING1402,C7
SPRING1404,C7
SPRING1406,C8
SPRING1408,C4
SPRING1411,C4
SPRING1412,C7
SPRING1425,C8
SPRING1428,C7
SPRING1429,C7
SPRING1430,C7
SPRING1437,C3
SPRING1438,C7
SPRING1439,C6
SPRING1440,C3
SPRING1443,C7
SPRING1444,C7
SPRING1445,C4
SPRING1446,C8
SPRING1447,C7
SPRING1450,C5
SPRING1455,C5
SPRING1457,C8
SPRING1461,C7
SPRING1463,C6
SPRING1465,C6
SPRING1466,C4
SPRING1471,C7
SPRING1473,C3
SPRING1478,C7
SPRING1479,C8
SPRING1480,C4
SPRING1481,C7
SPRING1482,C7
SPRING1483,C6
SPRING1484,C6
SPRING1485,C5
SPRING1486,C5
SPRING1487,C7
SPRING1488,C4
SPRING1489,C7
SPRING1490,C4
SPRING1491,C8
SPRING1494,C6
SPRING1495,C7
SPRING1497,C6
SPRING1498,C4
SPRING1499,C8
SPRING1500,C8
SPRING1501,C5
SPRING1502,C3
SPRING1503,C8
SPRING1504,C8
SPRING1505,C7
SPRING1507,C4
SPRING1508,C6
SPRING1509,C7
SPRING1510,C8
SPRING1511,C8
SPRING1513,C7
SPRING1514,C4
SPRING1515,C7
SPRING1516,C7
SPRING1517,C8
SPRING1518,C6
SPRING1519,C4
SPRING1521,C8
SPRING1522,C7
SPRING1524,C5
SPRING1526,C6
SPRING1527,C6
SPRING1528,C4
SPRING1529,C8
SPRING1531,C4
SPRING1533,C7
SPRING1534,C4
SPRING1536,C7
SPRING1537,C5
SPRING1539,C4
SPRING1542,C7
SPRING1543,C4
SPRING1545,C7
SPRING1546,C7
SPRING1547,C4
SPRING1550,C7
SPRING1551,C7
SPRING1552,C4
SPRING1553,C4
SPRING1555,C8
SPRING1558,C7
SPRING1559,C4
SPRING1560,C7
SPRING1561,C8
SPRING1562,C5
SPRING1564,C7
SPRING1567,C8
SPRING1568,C6
SPRING1569,C6
SPRING1570,C8
SPRING1571,C4
SPRING1572,C4
SPRING1574,C7
SPRING1577,C7
SPRING1579,C5
SPRING1580,C4
SPRING1581,C7
SPRING1582,C7
SPRING1583,C4
SPRING1584,C6
SPRING1585,C7
SPRING1586,C8
SPRING1587,C7
SPRING1588,C8
SPRING1589,C5
SPRING1590,C4
SPRING1593,C5
SPRING1594,C7
SPRING1595,C6
SPRING1596,C7
SPRING1597,C6
SPRING1598,C5
SPRING1599,C5
SPRING1600,C6
SPRING1601,C7
SPRING1602,C8
SPRING1609,C7
SPRING1610,C8
SPRING1611,C7
SPRING1612,C4
SPRING1613,C7
SPRING1614,C7
SPRING1621,C7
SPRING1624,C7
SPRING1628,C4
SPRING1632,C8
SPRING1633,C4
SPRING1635,C8
SPRING1637,C7
SPRING1639,C7
SPRING1641,C4
SPRING1642,C7
SPRING1643,C6
SPRING1645,C8
SPRING1650,C8
SPRING1651,C7
SPRING1653,C4
SPRING1654,C3
SPRING1655,C4
SPRING1656,C8
SPRING1659,C7
SPRING1662,C4
SPRING1665,C7
SPRING1666,C8
SPRING1667,C4
SPRING1668,C7
SPRING1670,C7
SPRING1674,C4
SPRING1676,C7
SPRING1677,C6
SPRING1678,C6
SPRING1681,C7
SPRING1682,C7
SPRING1684,C4
SPRING1687,C7
SPRING1688,C5
SPRING1690,C5
SPRING1692,C4
SPRING1693,C5
SPRING1694,C8
SPRING1695,C8
SPRING1697,C4
SPRING1698,C7
SPRING1699,C4
SPRING1701,C7
SPRING1702,C7
SPRING1704,C6
SPRING1707,C4
SPRING1710,C4
SPRING1712,C6
SPRING1715,C4
SPRING1717,C4
SPRING1720,C7
SPRING1735,C5
SPRING1740,C7
SPRING1744,C8
SPRING1745,C5
SPRING1747,C6
SPRING1756,C8
SPRING1759,C8
SPRING1761,C4
SPRING1766,C6
SPRING1767,C5
SPRING1777,C4
SPRING1780,C6
SPRING1785,C7
SPRING1786,C8
SPRING1788,C7
SPRING1790,C7
SPRING1792,C8
SPRING1794,C8
SPRING1797,C4
SPRING1798,C4
SPRING1800,C6
SPRING1804,C4
SPRING1808,C8
SPRING1814,C8
SPRING1816,C7
SPRING1818,C7
SPRING1819,C8
SPRING1823,C6
SPRING1825,C8
SPRING1833,C7
SPRING1834,C4
SPRING1835,C8
SPRING1839,C8
SPRING1840,C3
SPRING1842,C7
SPRING1847,C4
SPRING1848,C7
SPRING1850,C3
SPRING1851,C7
SPRING1852,C4
SPRING1856,C7
SPRING1858,C6
SPRING1860,C7
SPRING1866,C8
SPRING1868,C8
SPRING1872,C4
SPRING1873,C4
SPRING1874,C8
SPRING1878,C7
SPRING1880,C8
SPRING1887,C6
SPRING1890,C4
SPRING1892,C7
SPRING1893,C5
SPRING1895,C7
SPRING1900,C7
SPRING1902,C7
SPRING1903,C4
SPRING1904,C4
SPRING1907,C7
SPRING1910,C7
SPRING1918,C7
SPRING1920,C7
SPRING1922,C5
SPRING1927,C6
SPRING1929,C4
SPRING1933,C7
SPRING1937,C6
SPRING1941,C4
SPRING1943,C4
SPRING1948,C4
SPRING1957,C7
SPRING1962,C6
SPRING1966,C6
SPRING1970,C7
SPRING1974,C7
SPRING1980,C4
SPRING1982,C4
SPRING1985,C4
SPRING1987,C6
SPRING1988,C5
SPRING1991,C4
SPRING1993,C4
SPRING1996,C4
SPRING2001,C5
SPRING2003,C8
SPRING2006,C7
SPRING2010,C4
SPRING2014,C5
SPRING2032,C4
SPRING2035,C7
SPRING2043,C8
SPRING2044,C4
SPRING2050,C5
SPRING2052,C7
SPRING2053,C6
SPRING2055,C4
SPRING2058,C4
SPRING2063,C8
SPRING2066,C5
SPRING2072,C4
SPRING2083,C8
SPRING2085,C7
SPRING2091,C8
SPRING2092,C8
SPRING2096,C7
SPRING2099,C7
SPRING2111,C4
SPRING2112,C6
SPRING2131,C6
SPRING2137,C7
SPRING2143,C6
SPRING2147,C7
SPRING2148,C2
SPRING2151,C7
SPRING2159,C5
SPRING2161,C4
SPRING2162,C7
SPRING2175,C3
SPRING2177,C6
SPRING2181,C5
SPRING2193,C7
SPRING2212,C4
SPRING2214,C3
SPRING2244,C8
SPRING2246,C6
SPRING2249,C5
SPRING2251,C7
SPRING2252,C4
SPRING2256,C7
SPRING2257,C3
SPRING2259,C4
SPRING2261,C8
SPRING2266,C7
SPRING2267,C5
SPRING2270,C7
SPRING2271,C7
SPRING2279,C7
SPRING2285,C7
SPRING2288,C7
SPRING2289,C7
SPRING2290,C8
SPRING2293,C8
SPRING2296,C4
SPRING2299,C8
SPRING2305,C4
SPRING2311,C6
SPRING2312,C6
SPRING2322,C7
SPRING2324,C8
SPRING2330,C6
SPRING2331,C7
SPRING2342,C7
SPRING2343,C7
SPRING2349,C8
SPRING2351,C7
SPRING2373,C3
SPRING2376,C3
SPRING2378,C3
SPRING2385,C6
SPRING2387,C8
SPRING2392,C4
SPRING2393,C7
SPRING2395,C6
SPRING2396,C4
SPRING2401,C7
SPRING2403,C4
SPRING2406,C4
SPRING2407,C8
SPRING2409,C7
SPRING2414,C8
SPRING2420,C4
SPRING2421,C8
SPRING2428,C7
SPRING2432,C4
SPRING2435,C5
SPRING2439,C4
SPRING2444,C7
SPRING2446,C5
SPRING2447,C4
SPRING2448,C5
SPRING2449,C4
SPRING2454,C7
SPRING2458,C8
SPRING2459,C7
SPRING2460,C7
SPRING2467,C7
SPRING2468,C7
SPRING2470,C4
SPRING2473,C4
SPRING2474,C4
SPRING2477,C7
SPRING2478,C7
SPRING2479,C7
SPRING2481,C8
SPRING2483,C7
SPRING2485,C6
SPRING2488,C5
SPRING2489,C8
SPRING2494,C7
SPRING2499,C4
SPRING2503,C8
SPRING2504,C5
SPRING2506,C7
SPRING2512,C7
SPRING2515,C7
SPRING2518,C6
SPRING2519,C7
SPRING2522,C3
SPRING2525,C7
SPRING2530,C4
SPRING2532,C5
SPRING2538,C4
SPRING2540,C8
SPRING2541,C8
SPRING2543,C7
SPRING2549,C6
SPRING2551,C6
SPRING2562,C6
SPRING2568,C4
SPRING2571,C6
SPRING2576,C6
SPRING2582,C4
SPRING2583,C4
SPRING2587,C8
SPRING2589,C8
SPRING2591,C7
SPRING2593,C8
SPRING2594,C7
SPRING2596,C7
SPRING2597,C8
SPRING2601,C8
SPRING2602,C4
SPRING2604,C4
SPRING2607,C7
SPRING2608,C6
SPRING2610,C8
SPRING2612,C8
SPRING2613,C7
SPRING2614,C4
SPRING2615,C8
SPRING2617,C7
SPRING2621,C7
SPRING2623,C7
SPRING2624,C8
SPRING2628,C7
SPRING2629,C4
SPRING2631,C7
SPRING2634,C8
SPRING2637,C6
SPRING2638,C7
SPRING2640,C5
SPRING2644,C6
SPRING2645,C4
SPRING2648,C5
SPRING2649,C7
SPRING2650,C7
SPRING2651,C4
SPRING2653,C7
SPRING2654,C4
SPRING2656,C6
SPRING2661,C8
SPRING2664,C7
SPRING2666,C4
SPRING2668,C4
SPRING2670,C7
SPRING2674,C5
SPRING2675,C6
SPRING2676,C4
SPRING2677,C8
SPRING2678,C5
SPRING2679,C8
SPRING2680,C7
SPRING2684,C4
SPRING2685,C4
SPRING2688,C4
SPRING2689,C8
SPRING2695,C4
SPRING2696,C8
SPRING2706,C8
SPRING2707,C4
SPRING2709,C4
SPRING2712,C3
SPRING2715,C5
SPRING2717,C5
SPRING2718,C7
SPRING2719,C4
SPRING2720,C3
SPRING2721,C7
SPRING2723,C8
SPRING2727,C8
SPRING2729,C4
SPRING2733,C8
SPRING2738,C5
SPRING2743,C4
SPRING2746,C7
SPRING2747,C5
SPRING2748,C4
SPRING2749,C2
SPRING2752,C4
SPRING2753,C5
SPRING2759,C4
SPRING2761,C4
SPRING2762,C4
SPRING2769,C5
SPRING2770,C4
SPRING2772,C7
SPRING2775,C7
SPRING2777,C5
SPRING2778,C8
SPRING2780,C4
SPRING2783,C3
SPRING2790,C7
SPRING2792,C4
SPRING2793,C7
SPRING2798,C6
SPRING2799,C4
SPRING2804,C3
SPRING2805,C8
SPRING2821,C6
SPRING2823,C4
SPRING2824,C4
SPRING2831,C4
SPRING2839,C4
SPRING2840,C4
SPRING2841,C6
SPRING2842,C3
SPRING2844,C8
SPRING2847,C7
SPRING2849,C3
SPRING2852,C7
SPRING2853,C4
SPRING2855,C7
SPRING2858,C6
SPRING2860,C5
SPRING2862,C7
SPRING2863,C5
SPRING2864,C2
SPRING2867,C7
SPRING2869,C6
SPRING2871,C5
SPRING2872,C4
SPRING2875,C7
SPRING2876,C4
SPRING2877,C6
SPRING2879,C7
SPRING2880,C7
SPRING2881,C7
SPRING2887,C8
SPRING2888,C7
SPRING2889,C6
SPRING2890,C4
SPRING2892,C6
SPRING2893,C7
SPRING2895,C4
SPRING2899,C4
SPRING2903,C7
SPRING2906,C4
SPRING2907,C8
SPRING2908,C4
SPRING2909,C6
SPRING2910,C7
SPRING2911,C4
SPRING2912,C6
SPRING2913,C6
SPRING2914,C4
SPRING2915,C6
SPRING2916,C4
SPRING2917,C6
SPRING2920,C7
SPRING2925,C6
SPRING2926,C5
SPRING2927,C6
SPRING2929,C4
SPRING2935,C7
SPRING2936,C3
SPRING2937,C4
SPRING2938,C5
SPRING2939,C7
SPRING2942,C4
SPRING2944,C7
SPRING2945,C3
SPRING2948,C6
SPRING2950,C8
SPRING2953,C7
SPRING2955,C3
SPRING2956,C3
SPRING2960,C8
SPRING2963,C7
SPRING2964,C7
SPRING2968,C4
SPRING2969,C5
SPRING2971,C8
SPRING2973,C4
SPRING2974,C4
SPRING2975,C8
SPRING2980,C7
SPRING2982,C7
SPRING2983,C4
SPRING2987,C4
SPRING2990,C5
SPRING2992,C8
SPRING2993,C4
SPRING2994,C7
SPRING2998,C5
SPRING3000,C8
SPRING3002,C4
SPRING3004,C6
SPRING3005,C6
SPRING3009,C5
SPRING3012,C8
SPRING3014,C8
SPRING3015,C7
SPRING3020,C7
SPRING3022,C7
SPRING4000,C8
SPRING4001,C7
SPRING4004,C6
SPRING4007,C8
SPRING4011,C8
SPRING4018,C7
SPRING4019,C4
SPRING4021,C4
SPRING4025,C8
SPRING4026,C6
SPRING4027,C8
SPRING4032,C7
SPRING4035,C7
SPRING4036,C4
SPRING4039,C6
SPRING4042,C6
SPRING4044,C7
SPRING4045,C8
SPRING4046,C7
SPRING4047,C4
SPRING4048,C8
SPRING4050,C4
SPRING4051,C4
SPRING4052,C4
SPRING4053,C8
SPRING4054,C8
SPRING4056,C4
SPRING4057,C8
SPRING4058,C8
SPRING4059,C4
SPRING4060,C8
SPRING4061,C6
SPRING4063,C8
SPRING4064,C7
SPRING4065,C6
SPRING4066,C6
SPRING4067,C6
SPRING4068,C7
SPRING4069,C7
SPRING4071,C5
SPRING4073,C5
SPRING4074,C4
SPRING4075,C5
SPRING4077,C8
SPRING4078,C6
SPRING4080,C7
SPRING4081,C4
SPRING4082,C4
SPRING4083,C8
SPRING4088,C4
SPRING4093,C6
SPRING4094,C6
SPRING4095,C6
SPRING4097,C7
SPRING4099,C7
SPRING4101,C5
SPRING4103,C4
SPRING4104,C8
SPRING4106,C6
SPRING4107,C6
SPRING4108,C8
SPRING4110,C4
SPRING4112,C7
SPRING4113,C4
SPRING4114,C7
SPRING4115,C8
SPRING4118,C8
SPRING4121,C6
SPRING4123,C6
SPRING4126,C8
SPRING4127,C6
SPRING4128,C8
SPRING4130,C6
SPRING4132,C8
SPRING4133,C7
SPRING4134,C6
SPRING4135,C6
SPRING4138,C6
SPRING4143,C6
SPRING4144,C6
SPRING4145,C6
SPRING4147,C6
SPRING4151,C6
SPRING4152,C4
SPRING4154,C6
SPRING4155,C7
SPRING4156,C8
SPRING4159,C6
SPRING4160,C8
SPRING4161,C4
SPRING4162,C6
SPRING4164,C7
SPRING4165,C8
SPRING4168,C6
SPRING4169,C7
SPRING4170,C6
SPRING4172,C8
SPRING4173,C5
SPRING4174,C7
SPRING4176,C6
SPRING4177,C7
SPRING4180,C8
SPRING4181,C4
SPRING4182,C6
SPRING4183,C5
SPRING4184,C6
SPRING4185,C7
SPRING4186,C6
SPRING4190,C6
SPRING4191,C6
SPRING4193,C6
SPRING4194,C7
SPRING4196,C6
SPRING4197,C8
SPRING4206,C6
SPRING4207,C6
SPRING4208,C4
SPRING4209,C4
SPRING4210,C8
SPRING4211,C8
SPRING4212,C7
SPRING4213,C5
SPRING4214,C7
SPRING4216,C6
SPRING4217,C4
SPRING4220,C7
SPRING4222,C8
SPRING4223,C5
SPRING4224,C8
SPRING4225,C7
SPRING4227,C8
SPRING4228,C6
SPRING4229,C7
SPRING4230,C6
SPRING4231,C7
SPRING4233,C8
SPRING4234,C7
SPRING4236,C8
SPRING4238,C6
SPRING4245,C4
SPRING4247,C8
SPRING4248,C6
SPRING4254,C6
SPRING4256,C8
SPRING4264,C6
SPRING4266,C7
SPRING4270,C8
SPRING4272,C5
SPRING4274,C4
SPRING4279,C8
SPRING4280,C8
SPRING4282,C8
SPRING4284,C6
SPRING4286,C6
SPRING4287,C6
SPRING4288,C7
SPRING4289,C8
SPRING4290,C6
SPRING4291,C4
SPRING4293,C4
SPRING4294,C8
SPRING4295,C6
SPRING4296,C4
SPRING4297,C7
SPRING4299,C7
SPRING4303,C7
SPRING4304,C4
SPRING4307,C6
SPRING4311,C8
SPRING4312,C8
SPRING4314,C7
SPRING4316,C5
SPRING4317,C7
SPRING4318,C4
SPRING4319,C7
SPRING4320,C6
SPRING4321,C6
SPRING4322,C6
SPRING4324,C6
SPRING4328,C6
SPRING4329,C7
SPRING4330,C8
SPRING4331,C6
SPRING4332,C8
SPRING4333,C8
SPRING4334,C6
SPRING4336,C6
SPRING4337,C6
SPRING4338,C6
SPRING4342,C6
SPRING4344,C6
SPRING4345,C7
SPRING4346,C6
SPRING4347,C6
SPRING4349,C5
SPRING4350,C8
SPRING4352,C8
SPRING4353,C6
SPRING4355,C8
SPRING4356,C6
SPRING4357,C4
SPRING4358,C4
SPRING4361,C6
SPRING4362,C5
SPRING4363,C8
SPRING4366,C8
SPRING4367,C6
SPRING4368,C3
SPRING4369,C6
SPRING4372,C6
SPRING4373,C8
SPRING4375,C6
SPRING4378,C6
SPRING4379,C4
SPRING4380,C6
SPRING4381,C6
SPRING4383,C6
SPRING4384,C6
SPRING4385,C7
SPRING4387,C4
SPRING4389,C7
SPRING4390,C7
SPRING4396,C4
SPRING4398,C5
SPRING4400,C7
SPRING4401,C7
SPRING4402,C6
SPRING4403,C5
SPRING4405,C7
SPRING4407,C6
SPRING4408,C3
SPRING4409,C8
SPRING4411,C6
SPRING4412,C8
SPRING4413,C8
SPRING4415,C6
SPRING4416,C8
SPRING4417,C8
SPRING4420,C8
SPRING4423,C8
SPRING4425,C7
SPRING4427,C7
SPRING4429,C7
SPRING4430,C4
SPRING4431,C4
SPRING4432,C6
SPRING4433,C8
SPRING4434,C4
SPRING4437,C5
SPRING4438,C5
SPRING4446,C8
SPRING4447,C4
SPRING4448,C4
SPRING4449,C8
SPRING4454,C4
SPRING4459,C8
SPRING4461,C7
SPRING4463,C7
SPRING4465,C5
SPRING4466,C8
SPRING4469,C8
SPRING4473,C7
SPRING4474,C7
SPRING4475,C8
SPRING4477,C4
SPRING4478,C8
SPRING4481,C7
SPRING4484,C6
SPRING4485,C6
SPRING4487,C8
SPRING4497,C8
SPRING4499,C6
SPRING4501,C4
SPRING4503,C8
SPRING4504,C6
SPRING4505,C8
SPRING4511,C6
SPRING4513,C8
SPRING4514,C8
SPRING4515,C4
SPRING4516,C6
SPRING4517,C8
SPRING4519,C7
SPRING4520,C3
SPRING4521,C7
SPRING4525,C8
SPRING4527,C4
SPRING4529,C6
SPRING4530,C7
SPRING4538,C7
SPRING4542,C8
SPRING4545,C6
SPRING4546,C7
SPRING4547,C8
SPRING4549,C4
SPRING4551,C5
SPRING4555,C8
SPRING4557,C6
